Verb,Unconditional MLE,Fisher's p,Verb frequency,Collostruction frequency,'Zijn' ratio
onderscheiden,1.90316571514,6.97048612723e-15,595,304,0.519327731092
verteren,1.88944702345,0.0231216969007,55,28,0.2
nomineren,1.88314140391,1.06080221828e-10,423,215,0.243498817967
belonen,1.88167629874,0.000477485390569,124,63,0.0645161290323
geboren,1.87474182197,1.1649509189e-62,2882,1462,0.484038861901
begeleiden,1.87158911383,3.30950671583e-06,223,113,0.00896860986547
uitverkopen,1.86335958947,0.00376554332324,89,45,0.921348314607
verwisselen,1.85447554464,0.00111424351382,113,57,0.265486725664
dopen,1.85225264988,2.13002110914e-06,242,122,0.309917355372
beïnvloeden,1.85163901554,4.11218446868e-19,857,432,0.365227537923
vervolgen,1.84969295685,8.24366937934e-07,264,133,0.0833333333333
verstoren,1.84088334671,3.03274213874e-05,193,97,0.170984455959
vernoemen,1.83810557558,1.48317511882e-23,1103,554,0.757932910245
verdwijnen,1.82428543778,2.02023402813e-26,1273,637,0.999214454046
bepaald,1.82196354449,0.0411443840522,52,26,0.134615384615
vellen,1.82196265196,0.0320263750297,54,27,0.444444444444
gijzelen,1.82195908177,0.0231173611482,62,31,0.177419354839
stoken,1.82195908177,0.0231173611482,62,31,0.0483870967742
flankeren,1.82195640403,0.0154775460259,68,34,0.0294117647059
remmen,1.82195640403,0.0154775460259,68,34,0.0735294117647
drogen,1.82195551144,0.0124233679909,70,35,0.385714285714
bijten,1.82195194096,0.00892940041068,78,39,0.24358974359
uitputten,1.82194301414,0.00408743692572,98,49,0.795918367347
bellen,1.82193319361,0.00111638120236,120,60,0.141666666667
verhitten,1.79389499879,0.00118065336419,129,64,0.062015503876
ontbinden,1.79093806036,6.83043247957e-08,351,174,0.19943019943
wijden,1.78715459822,9.43270555444e-19,945,468,0.756613756614
vormen,1.78534144035,3.48681114019e-53,2866,1419,0.181437543615
beslechten,1.78398270704,0.00515624459217,95,47,0.147368421053
omsingelen,1.78145485376,0.00751380511908,89,44,0.438202247191
drinken,1.77632056072,1.22238383162e-05,237,117,0.0379746835443
noteren,1.77458743977,0.000473506536956,152,75,0.335526315789
vergiftigen,1.76048274445,0.000252958409852,175,86,0.474285714286
betwisten,1.76016564611,0.00253456417924,116,57,0.0862068965517
situeren,1.76010677419,1.90621917046e-05,232,114,0.866379310345
kappen,1.74272277873,0.0107979451935,90,44,0.3
bakken,1.74153514201,0.00146895435678,133,65,0.187969924812
